ID,Name,learning_rate,Group,State,Created,Runtime,lasttest_ps_MAE,besttest_ps_MAE,test_cn_mci_pvalue,test_cn_ad_pvalue,test_mci_ad_pvalue,test_cn_mean,test_mci_mean,test_ad_mean,val_cn_mci_pvalue,val_cn_ad_pvalue,val_mci_ad_pvalue,val_cn_mean,val_mci_mean,val_ad_mean
3q4hfd7o,legendary-cruiser-712,0.001,UNet,finished,2023-05-04T02:08:58.000Z,3391,3.11635624,3.026288075,2.070724789261003e-08,9.95681738625027e-08,0.10723464843137442,-0.6133447251878343,1.9112043481124075,2.5374375524975004,,,,,,
1ayqkbvm,jedi-force-733,0.0001,ResNet+ImageNet,finished,2023-05-04T23:58:57.000Z,5270,3.135654209,3.23772128,1.720958387619678e-06,4.030648795465808e-06,0.11607262195347362,-0.7170693337380349,1.524155566566869,2.114282903217134,,,,,,
34hr6qmw,imperial-republic-728,0.0001,ResNet,finished,2023-05-04T20:21:39.000Z,8352,3.151948396,3.182476284,3.402122059341545e-06,1.0000157674535694e-05,0.1646023725078321,0.17694847862999719,2.4022341276469983,2.8825615701221285,,,,,,
11fh5vtq,holographic-jawa-720,0.0001,ResNet,finished,2023-05-04T10:00:32.000Z,8088,3.222350112,3.180425421,7.939456597728503e-06,2.133442209365326e-05,0.18151769607018386,0.43065471477336714,2.586452162893195,3.0266114416576566,,,,,,
2xv69kxk,grievous-nexu-736,0.0001,ResNet+ImageNet,finished,2023-05-05T04:23:02.000Z,5201,3.25630566,3.279494346,4.230140023623766e-05,8.235346526322464e-05,0.21968445449832136,-0.37711461385091144,1.6671247582686575,2.0060707046872093,,,,,,
34ci0nc6,galactic-transport-739,1e-05,ResNet+ImageNet+BraTS,finished,2023-05-05T08:50:55.000Z,5432,3.226498372,3.280377637,5.956269501646728e-05,0.0002513535149937806,0.27912925159974655,-0.35580880792291314,1.6427921897486637,1.9107299759274436,,,,,,
j5a0zfwy,forgotten-transport-738,1e-05,ResNet+ImageNet+BraTS,finished,2023-05-05T07:18:34.000Z,5520,3.215527234,3.18166097,0.00010423520954066347,0.0007962485926769381,0.388621368462602,-0.2536058511819925,1.7689958271227384,1.8749857175917852,,,,,,
1okbesan,forgotten-bantha-710,0.001,UNet,finished,2023-05-04T00:15:57.000Z,3385,3.252756617,3.154598408,1.4300275871648271e-08,4.186739644203285e-08,0.08235416970948173,-1.0559363837714668,1.4458845841257195,2.1418111664908275,,,,,,
2p93yjxo,dark-pilot-741,1e-05,ResNet+ImageNet+BraTS,finished,2023-05-05T11:52:02.000Z,5625,3.272755047,3.272755047,2.582576759738144e-05,7.409442836347476e-05,0.2775580244087616,-0.21719734947960656,1.9714583145944695,2.1990307172139487,,,,,,
3al0w9zn,dark-astromech-718,0.0001,ResNet,finished,2023-05-04T05:31:51.000Z,8051,3.344394787,3.19651327,2.8171408434002763e-05,0.00010226676790817653,0.24522770515227998,-1.4641486846648895,0.6024431931345087,0.911185968489874,,,,,,
31b9gz5h,carbonite-republic-724,0.0001,ResNet+BraTS,finished,2023-05-04T17:09:55.000Z,4798,3.129554817,3.115817302,8.062577499745358e-06,9.381232021454249e-05,0.2944693671769977,-1.1883348344682574,0.9541549682617188,1.201365584418887,,,,,,
2cmsqpme,carbonite-emperor-742,1e-05,ResNet+ImageNet+BraTS,finished,2023-05-05T13:26:12.000Z,5426,3.23694968,3.212916331,3.552489210279442e-05,0.0005128714753370379,0.38996770488884025,-0.37049480816265484,1.7013957776521382,1.7391769999549502,,,,,,
gqpawqzi,blooming-totem-709,0.001,UNet,finished,2023-05-03T23:18:42.000Z,3427,3.132151698,3.082189474,1.812377500503595e-09,7.566078549328502e-09,0.08838132942590832,-0.40931887240023224,2.229163039358039,2.919337022872198,,,,,,
1wvwerl0,ancient-wars-737,0.0001,ResNet+ImageNet,finished,2023-05-05T05:49:52.000Z,5296,3.21494032,3.21494032,7.126465210549276e-06,1.531500187084335e-05,0.16416767420930195,0.208368765341269,2.3421734860068875,2.815278166816348,,,,,,
3w4g590k,ancient-droid-711,0.001,UNet,finished,2023-05-04T01:12:30.000Z,3381,3.123575571,3.123575571,8.3995322167175e-08,1.0922746682361361e-07,0.07997972326530406,-0.36954769787487685,2.0547259280556127,2.7393204144069125,,,,,,
1qeuu6lx,pious-firefly-639,0.0001,val_ResNet+ImageNet,finished,2023-04-24T08:42:26.000Z,8193,4.131263114,3.90106538,1.0819194946955182e-08,1.1885333867689716e-08,0.052936142443481105,-1.918498202487155,0.7001614420037521,1.5193476676940918,0.00986183399237492,0.00024016233915511294,0.05493466862506776,-1.4397101303626751,0.3177364601576624,1.3868064880371094
18fhf4ku,peach-surf-638,0.0001,val_ResNet+ImageNet,finished,2023-04-24T06:26:30.000Z,8145,3.774887154,3.566121213,1.1920736233519556e-07,4.93898276977934e-08,0.05791067840050831,-1.9007381404842343,0.5575807069477282,1.387988703591483,0.0157629445335048,0.0002569010239794937,0.0526810288888293,-0.9837685683677937,0.6817944266579368,1.7086161099947417
1b775733,easy-bush-637,0.0001,val_ResNet+ImageNet,finished,2023-04-24T04:09:54.000Z,8186,4.023937466,3.666384448,7.095872452517044e-08,3.2212934625067954e-08,0.06032184000895136,-1.673307264173353,0.8049576809531764,1.6131199655078707,0.007258244395856955,6.686411191457902e-05,0.03683482238805607,-0.6402524487725619,1.1840134139888543,2.2998410412388988
3i0frswd,smooth-dawn-636,0.0001,val_ResNet+ImageNet,finished,2023-04-24T01:55:51.000Z,8029,4.037566726,3.487825342,1.976168842805634e-08,1.9149498580105277e-09,0.03245941853213577,-1.8208989323796452,0.7675248798571135,1.7474439030601865,0.014201345098388437,4.059718129080605e-05,0.0190891387349075,-0.5956940486513335,1.094266418583137,2.4006092364971456
2gmjq6hw,bright-haze-635,0.0001,val_ResNet+ImageNet,finished,2023-04-23T23:42:49.000Z,7972,3.512188886,3.567389342,2.837952405999258e-07,8.524636653464145e-07,0.11173006409932368,-0.7851539130683418,1.587673669112356,2.1595814795721147,0.01073421203776135,0.00020078142906676804,0.05505535978843435,-1.2259309176740976,0.5503485655981647,1.6334773332644732
2t3dpwtf,fragrant-surf-694,0.0001,val_ResNet+BraTS,finished,2023-04-29T08:18:49.000Z,8155,3.497856965,3.341704704,2.3684694957326694e-08,3.8052859553666264e-08,0.08885098734869745,-1.2022158304850261,1.3913454959267064,2.0935272716340565,0.007164339808496003,8.315119390023155e-05,0.04763581772828266,-0.42306484353953394,1.4353456891272678,2.5235314328446345
3dr8ftq8,visionary-microwave-693,0.0001,val_ResNet+BraTS,finished,2023-04-29T06:06:22.000Z,7926,3.491791115,3.561652794,1.5162852682304864e-07,1.4039071702266737e-08,0.03019064059987878,-1.0125883291433524,1.4420377229389392,2.3916238376072476,0.004559277804455064,2.7379695574849553e-05,0.044289380043266297,-1.0701698829387796,0.8901239663116203,2.0081637455866885
1m8oglh4,still-lion-692,0.0001,val_ResNet+BraTS,finished,2023-04-29T03:50:31.000Z,8128,3.731110925,3.331905606,1.0402906730593673e-08,7.2526106827170095e-09,0.05750504960247617,-1.6312933225889463,1.0055758827611019,1.835556461697533,0.00748805633062916,8.994905308230614e-05,0.05244813442381898,-0.11349984530744882,1.732020464810458,2.765373327793219
2h4ct9sn,breezy-firefly-691,0.0001,val_ResNet+BraTS,finished,2023-04-29T01:37:06.000Z,7983,3.418301144,3.52956411,2.3669187729048586e-09,5.939246984634664e-10,0.03344901946048468,-0.6532829215934685,2.0494752381977284,3.0270349638802663,0.0029857788652417248,2.1108030195060538e-05,0.04449282693327167,-0.49152803092167296,1.5230363735482713,2.586399926079644
10pe454p,wandering-microwave-690,0.0001,val_ResNet+BraTS,finished,2023-04-28T23:25:15.000Z,7885,3.591120814,3.299047865,6.0529196852589e-08,9.390762894426045e-09,0.046457002999753444,-1.383193488593574,1.1092656386526007,1.9249183791024345,0.008132508198701652,0.00014393774765864416,0.06444558022608934,0.2305315478094693,2.104871213928727,3.115581382034171
1x53bmdr,honest-dream-625,0.0001,val_ResNet,finished,2023-04-21T12:00:10.000Z,7825,3.686069523,3.344735704,4.20345153144676e-07,9.118248900658326e-08,0.05156123168356529,-1.7601704640431448,0.5924725783498663,1.4433619862511045,0.007430010331549524,0.00016436890266094734,0.06188939723864326,-0.43617850994241647,1.3907355158782202,2.337222466102013
1n416eqm,treasured-snowball-624,0.0001,val_ResNet,finished,2023-04-21T09:46:39.000Z,8001,3.4264492,3.412565833,7.098342633030797e-07,5.607140456897474e-07,0.07139539268499173,-0.5770224150236662,1.7210589760228208,2.4633490925743464,0.013832439564690479,0.0002372304434026578,0.05291474322226944,-0.47586982990133353,1.2425092113904717,2.218728774633163
4tl5k524,balmy-darkness-623,0.0001,val_ResNet,finished,2023-04-21T07:37:55.000Z,7714,3.700595134,3.736193751,3.045156875380622e-07,2.8666594829965386e-08,0.03633405120715242,-1.9177639935467694,0.4824451044986123,1.3748400324866885,0.00551322437457782,0.00024916206873734485,0.06610180015541739,-1.4249229431152344,0.4205081246115945,1.3645333510178785
zvsp9hu4,snowy-puddle-622,0.0001,val_ResNet,finished,2023-04-21T05:27:41.000Z,7804,3.510220777,3.366512745,1.281885089394324e-07,2.4731246388097537e-08,0.033318549402333704,-1.4682282112740181,0.9753944396972656,1.8955662818182082,0.009144166724629305,3.5634880415496175e-05,0.02675404342094174,-0.41009839814284754,1.4049466188288917,2.5981116335616155
2b4rfo3h,wild-lion-621,0.0001,val_ResNet,finished,2023-04-21T03:15:35.000Z,7916,3.429691005,3.919353245,8.053430742334797e-08,1.827564931321958e-08,0.039769701028270085,-1.0920622198431342,1.3992681202135588,2.2921298571995328,0.004868310290973199,4.0320495755392853e-05,0.04541767336886579,-1.8605199616530845,0.04240122708407315,1.1757694146572015
1jbd5l3z,iconic-spaceship-701,0.001,val_UNet+BraTS,finished,2023-04-30T00:37:37.000Z,7106,3.404306498,3.18113846,7.479068144213261e-13,5.844808688064766e-12,0.035229159430154124,-0.6728835922103744,2.3018837978965356,3.287279560452416,7.183648428365586e-05,5.528774661786151e-09,0.005814282789998717,-0.22721034082873115,2.1289364365506764,3.617876525618072
mdv4lrck,genial-monkey-676,0.001,val_UNet+BraTS,finished,2023-04-27T18:51:50.000Z,6833,3.247683551,3.142878627,2.126130424876451e-11,8.731713691286381e-11,0.04544178839693686,-0.16871134440104166,2.642687185187089,3.5945587839399065,8.592484898421084e-05,4.7828822802836276e-09,0.006453426504661585,-0.059533402015422954,2.296241271594339,3.7722833421495228
26r4bcnd,graceful-serenity-675,0.001,val_UNet+BraTS,finished,2023-04-27T16:55:45.000Z,6949,3.735560993,3.16288991,1.2933950363340207e-13,1.3856113589026954e-14,0.012865359221457373,-1.1529985032640062,2.0245569128739205,3.2506727264040993,5.626751336925295e-05,8.357309043715157e-10,0.0016590868813697245,-0.16566480439284753,2.211803830359593,3.9257252032940206
2z0pvkg9,earnest-glitter-674,0.001,val_UNet+BraTS,finished,2023-04-27T15:00:21.000Z,6912,3.421571268,3.255771053,6.634965599462527e-11,1.722709679347228e-11,0.03568613487707451,-0.7514325047398472,2.0759914598966898,3.015109175727481,0.00023557764862526675,2.4700504071768063e-06,0.03545760687067177,0.2346632069554822,2.5637880593291986,3.577666812472873
3tbj8qy9,revived-bee-673,0.001,val_UNet+BraTS,finished,2023-04-27T13:04:45.000Z,6915,3.631008732,3.39603589,1.5050442874263368e-12,4.6008376945464195e-12,0.049372783372497946,-1.0951743254790436,1.9160736887078536,2.882863612402053,4.142383260537346e-05,2.296956343115399e-09,0.004455539784729864,-0.4923612134209995,1.902503289467047,3.41175284752479
26ehnxsa,fragrant-bird-704,0.001,val_UNet,finished,2023-04-30T06:35:24.000Z,6972,3.351840251,3.224390253,9.56271004884377e-12,1.850043661920797e-12,0.014849609625827457,-0.5476690068975225,2.3291615536338406,3.4511958303905668,0.00015406885833778474,1.3641841977801745e-07,0.017250528256264906,-0.27146335470265354,1.927746717594872,3.289887289715628
nn484fgk,eager-shadow-664,0.001,val_UNet,finished,2023-04-26T18:57:58.000Z,6894,3.660188486,3.450235384,3.300770219286023e-11,5.860041818138448e-11,0.05262113664213498,-1.17731135600322,1.6826654534590872,2.5946877116248723,0.0006651502246106133,9.56179034281979e-07,0.012721681839057418,-0.7672560856260102,1.2853276434023517,2.6163412566877837
3uijw65d,misunderstood-breeze-663,0.001,val_UNet,finished,2023-04-26T17:03:06.000Z,6879,3.441985328,3.360007896,1.7518186115041772e-12,2.2537455025307494e-13,0.01300186608284767,-0.3257489591031461,2.6858355672735916,3.887680076417469,9.381957619422515e-05,8.557335786977142e-08,0.011890636761897432,-0.18159261243096714,2.0480865446989203,3.41385008331038
1uc8mk7w,sweet-planet-662,0.001,val_UNet,finished,2023-04-26T15:07:25.000Z,6931,3.423949371,3.299636291,5.285094487630176e-12,2.932845034237826e-12,0.026690134171610248,-0.7687425699319925,2.1936880412854647,3.2350062188648043,0.00025359906185486094,2.455001122965832e-08,0.005166961976353974,-0.12071756823309536,2.0264561393044214,3.5664431906154013
ej1csi5z,charmed-cosmos-661,0.001,val_UNet,finished,2023-04-26T13:11:33.000Z,6943,3.464977299,3.454547504,3.103422152391094e-11,6.6262650409641235e-12,0.019560939856734322,-0.9211620983776746,1.9545330850701583,3.0723664192926314,0.00024400486355517418,8.633550164025139e-08,0.007826922906441582,-0.3289830964187096,1.8514498403249693,3.2684288024902344
3m1cod0b,gentle-music-660,1e-05,val_ResNet+ImageNet+BraTS,finished,2023-04-26T08:21:57.000Z,7876,3.407103667,3.320513201,2.6546831248248495e-06,5.5255350672137175e-06,0.17677234864379238,-1.1497251837103217,1.174751763594778,1.6123334112621488,0.0651511312967864,0.004944705602009888,0.10775549970255188,-0.2535753710516568,1.215529654636856,2.0215931101741953
17pu3yio,soft-sun-659,1e-05,val_ResNet+ImageNet+BraTS,finished,2023-04-26T06:07:28.000Z,8038,3.483658249,3.483658249,2.7800379097958004e-06,1.287335609985761e-06,0.11431012912923877,-1.1626680047662408,1.1643991771497224,1.7629006930759974,0.03018287987177296,0.0008198751058168063,0.07488173847202638,-0.6570137023925782,1.0241223957912982,1.9381931337535891
yufymb54,noble-jazz-658,1e-05,val_ResNet+ImageNet+BraTS,finished,2023-04-26T03:52:43.000Z,8056,3.555096463,3.450910895,3.927047118255832e-06,1.258997421421369e-05,0.19252291569846158,-1.4739655159615181,0.7718566292210629,1.2362197921389626,0.034673652277010816,0.001621332323336367,0.09324819170340165,-0.4727752948629445,1.195777435933263,2.058547810611562
259h3um8,peach-sun-657,1e-05,val_ResNet+ImageNet+BraTS,finished,2023-04-26T01:35:37.000Z,8203,3.666591472,3.434408652,8.976789785794796e-06,7.059782196255413e-06,0.14793100273966525,-1.9070555884558875,0.33950464349043996,0.8403153873625255,0.018296044287983218,0.0010643488246996316,0.0872468035557083,-0.6734464711156385,1.0395057772801928,1.9679197327703493
2n18xwja,olive-snow-656,1e-05,val_ResNet+ImageNet+BraTS,finished,2023-04-25T23:20:23.000Z,8092,3.462248725,3.366907756,1.3778892101210748e-05,2.7256702603834807e-05,0.22491297681551664,-1.243679665230416,0.9408899006090666,1.3074625787280856,0.04100268591532937,0.0027615396369292523,0.1095756317704843,-0.42699598115066,1.1685515317049893,2.0242918291662493
3q0dvs1c,carbonite-wars-747,0.0001,UNet+BraTS,finished,2023-05-05T17:27:38.000Z,1543,3.003194723,3.003194723,6.793615165278408e-07,3.533333055407926e-06,0.21316293202013953,-0.2439021548709354,2.057017758018092,2.4105101312909807,,,,,,
1snbs3h7,imperial-nexu-746,0.0001,UNet+BraTS,finished,2023-05-05T17:02:22.000Z,1501,3.16784125,3.16784125,5.866099558485079e-07,3.686966095539889e-06,0.2087666444718307,-0.970521050530511,1.302781898096988,1.7196807634262812,,,,,,
317zos9q,civilized-wookie-745,0.0001,UNet+BraTS,finished,2023-05-05T16:37:17.000Z,1491,3.032797049,3.032797049,4.373759534791065e-07,1.193527524294683e-06,0.13854202235400387,-0.5253174927857545,1.7563082444040399,2.3121452104477656,,,,,,
37tq6dd7,old-council-744,0.0001,UNet+BraTS,finished,2023-05-05T16:13:02.000Z,1442,3.156139339,3.059877207,1.650621029590227e-07,1.9479964343116995e-06,0.1985012710362981,-0.9741701693148226,1.4225136807090357,1.82154875709897,,,,,,
1wp7suqv,civilized-parsec-743,0.0001,UNet+BraTS,finished,2023-05-05T15:49:02.000Z,1428,3.037437164,3.037437164,4.130232388791677e-08,3.447694675728809e-07,0.18965475584476593,-0.35593974482905755,2.14819625051398,2.5645374797639393,,,,,,
